sim: 196 entrees   reel (dedup): 129 entrees
PREMIERE DIVERGENCE a l'index 0
 idx            sim           reel
   0         (1, 2)         (1, 3) <<<
   1        (2, 10)        (2, 11)
   2        (3, 18)        (3, 19)
   3        (4, 21)        (4, 22)
   4        (5, 31)        (5, 32)
   5        (6, 52)        (6, 53)
   6        (7, 60)        (7, 61)
   7        (8, 75)        (8, 75)
   8        (9, 82)        (9, 83)
   9       (10, 90)       (10, 91)
  10      (11, 107)      (11, 107)
  11      (12, 109)      (12, 109)
  12      (13, 114)      (13, 114)
  13      (14, 121)      (14, 122)
  14      (15, 131)      (15, 131)
